0,1,2
2021-05-10 03:06:28,1391590433612976135,"Code : E3

[ https://t.co/lnBUHVDOmV ] https://t.co/OzQ5iwKmGG"
2021-05-10 03:05:08,1391590099167563781,"Code : D3

[ https://t.co/QKizjNoxIn ] https://t.co/MXgWCaYRRd"
2021-05-10 03:04:00,1391589814344945671,"Code : D2

[ https://t.co/hfxR2l8qEf ] https://t.co/CdRCCNnZKC"
2021-05-10 03:02:45,1391589498589310977,"Code : C2

[ https://t.co/xFYZxtHkc9 ] https://t.co/EyXSCVonEU"
2021-05-10 03:02:16,1391589374509256707,"Code : C1

[ https://t.co/4baOjXw2oq ] https://t.co/Li8i2JzQUQ"
2021-05-10 02:57:57,1391588289908379650,"Code : B2

[ https://t.co/l35nEcW2q4 ] https://t.co/bNoF9WY24y"
2021-05-10 02:57:54,1391588277656834052,"Code : B1

[ https://t.co/16kVq4ZTQe ] https://t.co/n7RbpPMrBK"
2021-05-10 02:55:35,1391587692958285824,"Code : A3

[ https://t.co/3x3VHB3lKN ] https://t.co/pxaKl58E9a"
2021-04-04 03:20:06,1378547903334019075,ini kayaknya rest dulu ga sih. . .aku semingguan ini ribet ngurusin lamaran kerja t____t
2021-03-29 15:00:30,1376549833914208258,"@netinyadoni mumpung rame, siapa tau ada yg lagi cari jasa bikin carrd bisa cek katalog aku disini ya temen temen :… https://t.co/Zkjod5KN4i"
2021-03-29 04:09:10,1376385923999428613,@wnuyo coba kak bisa dm aku dulu! untuk tnc bisa cek di pinned aku atau disini ya :D https://t.co/a9v5zBCgvn
2021-03-29 04:04:01,1376384624822157313,@jaycrepes disini kak! harga start from 7k aja :D https://t.co/a9v5zBCgvn
2021-03-29 03:32:33,1376376709285511173,"@wafzle aku bisa jadi hari ini kak, boleh cek katalog dulu, harga start from 7k aja ^____^ https://t.co/a9v5zBCgvn"
2021-03-29 03:31:56,1376376554096185344,@winwinpiepie disini disini!! https://t.co/a9v5zBCgvn
2021-03-29 02:52:33,1376366641957588994,"hai, ada yang cari jasa carrd? boleh banget cek katalog aku atau cek pinned di profile aku ya! harga start from 7K… https://t.co/jkOiDz75YL"
2021-03-29 02:50:12,1376366049566724096,"@beamessages seneng banget dengernya, aku sempet dapet juga cust baik gitu, nambahin paymentnya sampe kaget banyak banget 😢💗"
2021-03-29 02:48:18,1376365572636635144,liat aku pengen kaya tapi males
2021-03-27 06:26:28,1375695700973907969,@Iarismanis aku mau!
2021-03-27 06:23:45,1375695014504722433,"halo selamat siang! aku buka jasa bikin carrd nih, bisa custom atau bisa liat juga dari katalog aku ^_____^ harga t… https://t.co/7gsqfSxqzy"
2021-03-26 00:37:04,1375245382834249732,"KADANG TUH, lucu-lucu banget sumpah aku suka terharu T____T"
2021-03-26 00:36:39,1375245278467489793,aku setiap dapet cust jajan carrd untuk hadiah mensive atau hadiah ngebulol : https://t.co/UhNJEcDV6m
