0,1,2
2021-07-04 09:19:55,1411615749802651648,@belift_fess enak wae😓
2021-07-04 09:17:22,1411615107692470278,RT @ParkySunghoon: Manifesting Park Sunghoon in a man bun just like lee jongsuk https://t.co/rDN8M5LOQg
2021-07-04 09:16:27,1411614874984017922,@belift_fess CPEK
2021-07-04 09:14:42,1411614436159148032,@pshgurl Wqwqwq nomernya di sensor 😭😭 https://t.co/DMxRRRbCpP
2021-07-04 09:05:01,1411611996143771649,HEH KOK AU NYA MAIN KE SEND AJA😭😭😭
2021-07-04 09:03:30,1411611615477207046,@marsyaeeee wuihh😭😭 q dengerin fever ampe fever:)
2021-07-04 08:58:53,1411610456167378948,"@CH0COMINTY Kece ihhh, clear bgtt"
2021-07-04 08:58:23,1411610329767940098,@youngtaelovers Wuihhh kta samaaa
2021-07-04 08:57:31,1411610112486117376,@CH0COMINTY udah lama bgt ga chattan ehhe:( https://t.co/BIJEzwnjyP
2021-07-04 08:51:37,1411608625009762306,@marsyaeeee Jarang nonton yt hmm hmmm https://t.co/XVzev6OF8h
2021-07-04 08:51:14,1411608527651500035,@draco_lleoni Ngerti dong akuuuu🤩🤩
2021-07-04 08:47:17,1411607535744737284,@jaywonland cellyn
2021-07-04 08:46:01,1411607217162256388,"[stolen]

Mumpung sepi😁 https://t.co/Ly6FQ5tDdH"
2021-07-04 08:45:34,1411607105132384258,@draco_lleoni 9 yoo
2021-07-04 08:44:49,1411606914648002560,"RT @enhyfilm: dance jam live by heesungwon ! ♡ @ENHYPEN_members 

#ENHYPEN #엔하이픈 #エンハイプン https://t.co/bPF1xdvHqZ"
2021-07-04 08:44:42,1411606885539598336,@jjwonnie_ soreee jgaa
2021-07-04 08:44:11,1411606756224995332,BTOEL SKALI https://t.co/79u8gWpbCL
2021-07-04 08:43:29,1411606577199476737,@belift_fess Y https://t.co/DMAribfZpi
2021-07-04 08:42:49,1411606410580815873,@convomf NGAKAK AHMAD DANI https://t.co/6wI9QjPixE
2021-07-04 08:39:26,1411605559464235010,@oneitfess MAU MANDI KEMBANG
2021-07-04 08:38:40,1411605365964165123,RT @heeisyang: i am not crying https://t.co/neNmZfrw2C
