0,1,2
2021-07-04 08:39:46,1411605642922532871,"RT @NCTsmtown_DREAM: 🛸🌈💚💚💚💚💚💚💚🌈🛸

#NCTDREAM #HelloFuture
#NCTDREAM_HelloFuture https://t.co/UuSolSlvSG"
2021-07-04 08:38:30,1411605324033708035,RT @LMKLOOK: https://t.co/B85wlXGYDp
2021-07-04 08:36:58,1411604939516776448,"RT @NCTsmtown_DREAM: #인기가요💚

‘Diggity’
➫ https://t.co/KwO0z2Axr5

#NCTDREAM #HelloFuture 
#NCTDREAM_HelloFuture"
2021-07-04 08:36:54,1411604920365506565,"RT @NCTsmtown_DREAM: #인기가요💚

‘Hello Future’
➫ https://t.co/1uF8FNJ0sV

#NCTDREAM #HelloFuture 
#NCTDREAM_HelloFuture"
2021-07-04 06:43:05,1411576279682281472,"@dels__10 런쥔이 항상 행복하시고 건강하길 바래요
#런쥔 #RENJUN #NCT런쥔 #엔시티런쥔
@NCTsmtown_DREAM"
2021-07-04 06:41:14,1411575815792250883,"@HRJFEED 런쥔이 항상 행복하시고 건강하길 바래요
#런쥔 #RENJUN #NCT런쥔 #엔시티런쥔
@NCTsmtown_DREAM"
2021-07-04 06:40:27,1411575616357371908,"런쥔이 항상 행복하시고 건강하길 바래요
#런쥔 #RENJUN #NCT런쥔 #엔시티런쥔
@NCTsmtown_DREAM"
2021-07-04 05:38:33,1411560039370805251,Kenapa tidak sekalian bergengaman tangan? https://t.co/Ps0i96r53f
2021-07-04 04:14:22,1411538853773545474,RT @JellyCuddles__: 49. Hayolohh Sean https://t.co/Cx8nUG8fVo
2021-07-04 02:36:29,1411514219141337091,@armaraher Aku akan sangat bahagia bila ini didebutkan
2021-07-04 02:33:18,1411513419216277505,"RT @armaraher: Prompt

;Dejavu.
Squel Dongeng https://t.co/cotUd6MClM"
2021-07-03 23:53:46,1411473270516289537,"RT @jenoperhour: “because of nct dream, im who i am today” - jeno 🖤"
2021-07-03 15:13:03,1411342228170022913,RT @Ttottok7: 젠런 디기리〰 https://t.co/ZPMLUTquHd
2021-07-03 14:57:02,1411338199687843847,RT @renminrise: norenmin~🥰 https://t.co/oQjtUrsl0J
2021-07-03 14:56:47,1411338136290951175,RT @renminrise: next week gonna be talking about their future... the 50th anniversary banner😭😭 https://t.co/gY0aO5X9OE
2021-07-03 14:55:39,1411337849031389185,"RT @NCTDreamINA: yeayy udah 42M lagi nih guys, yuk streaming yang bener jam 10 kita gas dv buat besok yaa biar stabil 9M lagii, enjoy strea…"
2021-07-03 14:55:32,1411337821386772482,RT @thinkabtjeno: lee jeno’s perfect legs https://t.co/duay4ZK3Uk
2021-07-03 14:50:58,1411336673078562816,"@Yook_Nur18 Baiknya Anda berhenti. Itu sudah tidak sehat, tapi kalau hal tersebut memang menjadi pilihan Anda, sepe… https://t.co/Bgg6OPG1bZ"
2021-07-03 14:49:58,1411336420044673037,"@Yook_Nur18 Anda sebagai haters. Teruslah membenci, sementara yang Anda benci akan semakin bersinar. Sakiti diri An… https://t.co/ZhDrocItJP"
2021-07-03 14:48:35,1411336072315871233,@Yook_Nur18 Sikap yang Anda tujukan sama sekali tidak menunjukkan usia Anda. Anda sangat senang berkomentar mengena… https://t.co/KmaoP6Hgxh
2021-07-03 14:47:31,1411335803486179331,"@Yook_Nur18 Bismillah. Sebenarnya aku pengin langsung rnb, tapi barangkali Kakak membaca ini. Nama Anda bagus, saya… https://t.co/BIZeLZRFdZ"
2021-07-03 14:19:08,1411328659244208133,"RT @HRJFEED: THEY’RE INSANEE

#RENJUN #런쥔 #仁俊 https://t.co/Bl8ZrpjHcC"
2021-07-03 14:17:51,1411328337532780547,RT @renminrise: so i think i tend to value freedom a lot.”
2021-07-03 14:17:47,1411328321040699393,"RT @renminrise: live with many limitations, i wouldn’t deny that i’m the same, because we have to live together (in society), but at the sa…"
2021-07-03 14:17:14,1411328183605940230,"RT @renminrise: renjun always have such a beautiful mind..

“in addition of saying i’m feeling free,  actually it also mean i want to feel…"
2021-07-03 14:16:23,1411327967205072896,"@jenreonly ITU KAK MAGU NEPOK NJUN KAN?? 

Kak magu be like : on cam! On cam!"
2021-07-03 14:12:00,1411326866305155075,"RT @jocrescent: noren three tweet au

""siapa tau dia demen cowok,"" https://t.co/RwEctpzkzt"
2021-07-03 13:58:23,1411323439466442755,"RT @NCTDreamINA: 50th Anniversary NCT DREAM

sama seperti kita, /dreamies pun pengen bareng-bareng dalam waktu yang lama, disaat anniv ke 5…"
2021-07-03 13:57:42,1411323268557012995,"RT @smjsmjnct: ✨🌈 음악중심🦊🌈✨
#Renjun #런쥔 #仁俊 #ロンジュン
#NCTDREAM #HelloFuture 
#NCTDREAM_HelloFuture

 #RyonkoDREAMFA https://t.co/5Ntk96saVP"
2021-07-03 13:41:29,1411319183959228422,RT @leearuza: 32. Iri https://t.co/Vfphj37Ag4
2021-07-03 13:41:22,1411319156381609986,RT @leearuza: 31. From this                              to this https://t.co/WdlsmWZSax
2021-07-03 13:41:11,1411319110395305990,RT @leearuza: 30. Eheheh https://t.co/FfkdoH6SY1
2021-07-03 13:41:06,1411319086873600003,RT @leearuza: 29. Kasian mana masih muda https://t.co/SM6L8p8xQO
2021-07-03 13:41:02,1411319073909084169,RT @leearuza: 28. Macan https://t.co/ndMzqfH0jy
2021-07-03 13:40:58,1411319057408663568,RT @leearuza: 27. Lariii https://t.co/jT8uWkch5Z
2021-07-03 13:40:55,1411319044469182465,RT @leearuza: 26. Kok ngetag? https://t.co/gmfwcRS6TW
2021-07-03 13:40:52,1411319031219449859,RT @leearuza: 25. 🤣🤣🤣 https://t.co/olquH5kX8A
2021-07-03 12:57:04,1411308006667526148,Lega
2021-07-03 12:53:11,1411307031554756611,RT @norenloops: jeno by 📸 renjun https://t.co/giL6sUVSea
2021-07-03 11:25:04,1411284856693166084,"Katanya keluarg itu support system. Tapi itu nggak berlaku sama aku. Yang bener, mereka yang merusak."
2021-07-03 10:51:01,1411276285578412039,Hidup sangat melelahkan
2021-07-03 10:50:37,1411276183610687501,"RT @NCTsmtown_DREAM: ✨🌈🐬🦊🐯🐰🐶🐻🐹🌈✨

#NCTDREAM #HelloFuture 
#NCTDREAM_HelloFuture https://t.co/r2QcDXutUF"
2021-07-03 10:50:34,1411276171375910916,"RT @NCTsmtown_DREAM: ✨🌈🐬🦊🐯🐹🌈✨

#NCTDREAM #HelloFuture 
#NCTDREAM_HelloFuture https://t.co/PJmmZzApAb"
2021-07-03 10:36:41,1411272680402132992,RT @NCTDreamINA: -jeno as ipin                   -renjun as upin  https://t.co/AkDAMOXTLG
2021-07-03 07:28:18,1411225269134712833,RT @HRJFEED: he is amazing https://t.co/iQ0dpK6oB5
2021-07-03 07:17:10,1411222468824498176,RT @LJNFEED: https://t.co/7KrnV2icaN
2021-07-03 07:14:01,1411221675455049728,RT @HRJVISUAL: he’s breathtaking.. https://t.co/0gse0SDVVT
2021-07-03 07:13:34,1411221562322128898,RT @HRJVISUAL: the visuals 💓 https://t.co/kDDU4Q2F3l
2021-07-03 07:13:05,1411221441236799488,RT @23jellies: just keep looking to the stars~ hello future 👋🏼 https://t.co/CKUjQ0PA6r
2021-07-03 07:12:39,1411221333392961536,@renjunbase RENJUN TUH COCOK BANGET PAKE BAJU PUTIH
2021-07-03 07:12:07,1411221197027610628,RT @HRJVISUAL: renjun white prince today https://t.co/lzN25tTuq6
2021-07-03 07:12:02,1411221176551043075,RT @23jellies: ending fairies 🧚🏻‍♂️💓 https://t.co/VdxQWehFwV
2021-07-03 07:11:56,1411221149975867394,RT @HRJFEED: #renjun in all white 🤍 https://t.co/Asb29zzfOR
2021-07-03 07:02:51,1411218864738762758,RT @_jaemiverse: but have you seen this renmin pic ?? :0 https://t.co/Ys9iA28Eia
2021-07-03 06:40:13,1411213169725378567,"@ashyuck 런쥔이 항상 행복하시고 건겅하길 바래요
#런쥔 #RENJUN #NCT런쥔 #엔시티런쥔 
@NCTsmtown_DREAM"
2021-07-03 06:40:06,1411213140268707842,"@gladiolusjun 런쥔이 항상 행복하시고 건겅하길 바래요
#런쥔 #RENJUN #NCT런쥔 #엔시티런쥔 
@NCTsmtown_DREAM"
2021-07-03 06:39:58,1411213106294837249,"@rnjuncutie 런쥔이 항상 행복하시고 건겅하길 바래요
#런쥔 #RENJUN #NCT런쥔 #엔시티런쥔 
@NCTsmtown_DREAM"
2021-07-03 06:39:46,1411213056193957898,"@renjoniee 런쥔이 항상 행복하시고 건겅하길 바래요
#런쥔 #RENJUN #NCT런쥔 #엔시티런쥔 
@NCTsmtown_DREAM"
2021-07-03 06:39:36,1411213014766817282,"@qilalienn2 런쥔이 항상 행복하시고 건겅하길 바래요
#런쥔 #RENJUN #NCT런쥔 #엔시티런쥔 
@NCTsmtown_DREAM"
2021-07-03 06:39:26,1411212974652420097,"@fluffynjunn 런쥔이 항상 행복하시고 건겅하길 바래요
#런쥔 #RENJUN #NCT런쥔 #엔시티런쥔 
@NCTsmtown_DREAM"
2021-07-03 06:39:18,1411212941249028097,"@baekjaemren 런쥔이 항상 행복하시고 건겅하길 바래요
#런쥔 #RENJUN #NCT런쥔 #엔시티런쥔 
@NCTsmtown_DREAM"
2021-07-03 06:39:08,1411212897900843009,"@saturnjenren 런쥔이 항상 행복하시고 건겅하길 바래요
#런쥔 #RENJUN #NCT런쥔 #엔시티런쥔 
@NCTsmtown_DREAM"
2021-07-03 06:38:57,1411212852610813954,"@Leebiruu 런쥔이 항상 행복하시고 건겅하길 바래요
#런쥔 #RENJUN #NCT런쥔 #엔시티런쥔 
@NCTsmtown_DREAM"
2021-07-03 06:16:07,1411207106762399744,"RT @armaraher: 243. ""Nanti kita ketemu lagi, Bang."" 

—End. https://t.co/zXRHCtYkA3"
2021-07-03 06:16:03,1411207089951690754,"Aku nangis, sakit banget, tapi suka. Raka😭😭😭😭😭 https://t.co/nAEGTcD1oE"
2021-07-03 05:23:27,1411193851805462531,"@NCTDreamINA 재민아 나는 네 편이야 지금 이대로의 모습도 좋아 옛날도 좋았고 지금도 좋고 앞으로도 좋을거야
@NCTsmtown_DREAM"
