0,1,2
2021-07-03 19:33:55,1411407878682910721,@collegemenfess semangat ya nder. semoga tuhan membukakan rejeki buat kamu dan cepet dapet kerja. aamiin
2021-07-03 19:33:22,1411407738245029890,"@JUALAN_BASE nder kita satu dom, bisa kali drop link"
2021-07-03 19:25:57,1411405874292170754,@collegemenfess tidur aja nder
2021-07-03 19:25:25,1411405739881472000,"@bertanyarl masa gue mikirnya karna diluar udh bnyk yg legal tinggal sama pacar, jd tmn tidur dan buat dipeluk ya p… https://t.co/RRMCHy2kex"
2021-07-03 19:24:28,1411405500097306629,"@bertanyarl mungkin karna mereka udh ada temen tidur + tmn cuddle, jd gaperlu guling"
2021-07-03 19:23:58,1411405373655842821,@empathykook @kireisparadijs @bertanyarl bawa dr indo
2021-07-03 19:23:15,1411405191979552769,"@collegemenfess yok sini dm, bsk pagi aku isi. karna skrg muk tidur. silahkan nder"
2021-07-03 19:22:30,1411405006490660864,"cih, gue jurusan manajemen tante gue blg kalo kerjanya ntr susah dpt, karna rendah bgt. https://t.co/2wGZxP4L9y"
2021-07-03 19:21:15,1411404688457486341,"@bertanyarl 7+ bagus bagus aja sih, cuma agak boros. tp di gue sehari ngecas 2x aja"
2021-07-03 19:20:35,1411404521822031873,@silverquwenn @espisangij000 @bertanyarl gapapa mbak kita sama
2021-07-03 19:19:19,1411404202161545216,@espisangij000 @bertanyarl ko bisa anjg?!
2021-07-03 19:18:49,1411404076504412160,@rutoharuto5 @bertanyarl coba kalo lg charger jgn dimainin kak. trs ngecas sampe 80an aja. mentok 85 si aku biasany… https://t.co/kPMhAPdimL
2021-07-03 19:17:53,1411403842755854341,@loliiipop01 @bertanyarl SE2 kah?
2021-07-03 19:16:50,1411403578741190658,@bertanyarl 96% dan setahun pemakaian
2021-07-03 19:16:17,1411403439481921538,"@bertanyarl gatau, kyknya susu hasil kawin silang"
2021-07-03 19:14:58,1411403108022853632,dikit dikit ngatain baperan. lah ngaca anjing lo ngomong aja gak dijaga. kocak.
2021-07-03 18:52:57,1411397570421686274,RT @SOFTLILBR4T: @AREAJULID Jaman sekarang mending ketemu setan ketimbang manusia. Manusia itu kelakuannya more than the satan itself. Seta…
2021-07-03 18:41:50,1411394772304941057,@moviemenfes perempuan tanah jahanam gak sih
2021-07-03 13:15:13,1411312574746955777,@13akajin @arimadut @UCxUP @Tanfidz_T superman is dead😭😭
2021-07-03 04:55:29,1411186814908395520,"RT @TheFemaleNeeds: ✨BEST EXFOLIATING SERUM✨

— a thread — https://t.co/k4bmAYiOzY"
2021-07-03 04:54:09,1411186476616876033,@IeqbalSipa @RoyKimochi @apriyadidi @infotwitwor_ PDIP
2021-07-03 04:52:28,1411186053248020481,@hwappygurl @moviemenfes wkwk masuk akal
2021-07-03 04:49:45,1411185372353073153,@hamsternakal12 @CendolGabut @SeputarTetangga tp masalahnya resikonya berakibat ke semua org. makin lama ntr si coronce :(
