0,1,2
2021-07-04 09:57:21,1411625166694617090,RT @mutualan_base: Mutualan yukk. RT/rep nnti ku follow xoxo pong!
2021-07-04 09:27:04,1411617548932505607,@mlbbfess assassin
2021-07-04 09:01:11,1411611034209513485,RT @mutualan_base: pong! mutualan yuk. like/rt/rep terserah. jangan lupa follback ya♥ -f18
2021-07-04 09:00:25,1411610841128996864,"@MOXZYYY @mlbbfess Kerennn, thanks ya nder infonya."
2021-07-04 08:59:19,1411610565353476097,@bambangariyadiG @mlbbfess ok thanks ya infonya
2021-07-04 08:59:12,1411610534806388736,@DroopyRa @mlbbfess ok thanks ya infonya
2021-07-04 08:59:06,1411610507123990529,@strcbewi @mlbbfess ok thanks ya infonya
2021-07-04 08:59:00,1411610483044405252,@seterahsi @mlbbfess ok thanks ya infonya
2021-07-04 07:07:20,1411582381572591616,@mlbbfess Ayoo
2021-07-04 02:46:04,1411516632271187974,"@TwntyySix asli sakit sih tuh orang, urat malunya dah putus."
2021-07-04 02:35:03,1411513859102285827,"@TwntyySix iya tuh, kalo gini kan lama² jadi takut mau buka request chat."
2021-07-04 02:31:38,1411512998833704965,"@TwntyySix niceee, kamu bener banget."
2021-07-04 02:29:09,1411512373983125509,dan pasang profil picture berhijab ternyata gak menjamin bakalan terhindar dari pelecehan seksual di sosial media. ngenesss pisan😔
2021-07-04 02:28:00,1411512087373746182,cape gak sih lu saban hari ngeblock orang² gak jelas di twitter. ngadepin ketololan mereka yg otaknya isinya cuma nafsu doang.
2021-07-04 02:22:17,1411510646500323328,lama lama gue takut maen twitter kalo gini caranya.
2021-07-04 02:07:33,1411506937955438593,@biasajaaaaaaaa wkwkwk
2021-07-04 02:06:16,1411506617997135874,@iyadehngab @mlbbfess oke nanti aku follow
2021-07-04 02:05:59,1411506546077364234,@biasajaaaaaaaa iyaa siapp
2021-07-04 01:15:40,1411493881653325827,"@biasajaaaaaaaa mau. telur mata sapi, sosis, sama krupuknya jangan lupa ya😆"
2021-07-04 01:11:34,1411492849720254465,@bixutong @mlbbfess iyaa yang itu
2021-07-04 00:52:02,1411487936227336197,@bixutong @mlbbfess barusan udah ku add
2021-07-03 23:18:42,1411464444723404804,@kindacoolll @bixutong @mlbbfess Iya siap
2021-07-03 23:09:58,1411462249462472707,"@iyadehngab @mlbbfess aku sendernya, id kamu berapa biar aku follow?"
2021-07-03 23:09:25,1411462112472276994,@bixutong @kindacoolll @mlbbfess kapan nih mau main? *btw aku sendernya
2021-07-03 22:52:25,1411457831283220484,"@biasajaaaaaaaa oalah begituu, maap maap"
2021-07-03 22:46:14,1411456276396077061,@biasajaaaaaaaa tau darimana aku suka nasgor?
2021-07-03 22:42:11,1411455256379101186,@biasajaaaaaaaa pengen indomie juga tapi sayang lambung.
2021-07-03 21:39:10,1411439397556215810,pernah ngerasain gak sih lagi kangen banget sama seseorang tapi gak bisa berbuat apa² dan akhirnya cuma bisa nangis sendiri.
2021-07-03 14:56:13,1411337993311309825,@mlbbfess ohh tentu tidak
2021-07-03 14:53:22,1411337274894163975,"@Tinkeurdel kasian dia punya otak isinya cuma mesum, miris banget hidupnya."
2021-07-03 14:45:39,1411335334646874113,@Larassdwwi @dilfudaisuki @kochengfess kalian lucu lucu banget sihh😆
2021-07-03 14:33:04,1411332168085741568,@EmaMukar iya kak udah aku report dan blokir.
2021-07-03 12:53:22,1411307076236632066,Thankyou admin @mlbbfess love bangettt❤️ https://t.co/AucS2WNPFR
2021-07-03 12:50:37,1411306386433089539,"RT @KYFSmiLe: Buat kalian yang lagi nyari diamond mobile legend , COCOK NIH!!!

PRICELIST DIAMOND MLBB 

untuk respon yang lebih cepat , Hu…"
2021-07-03 12:50:27,1411306343747579906,"RT @mlbbfess: OPEN FOLLOWBACK MLBBFESS

RT/Like tweet ini dan tweet di bawah ini yaaw

Goodluck!"
2021-07-03 05:44:30,1411199149052108810,@Rofiqkhaironi Thankyou✨
2021-07-03 05:33:57,1411196492296069128,"yang kek gini nih, yang hobi ngirimin dick pict tanpa consent gini yg bikin gw takut buka dm. asli najisss banget😭 https://t.co/F1PB92SDhY"
2021-07-03 03:26:40,1411164462560600064,"@selebihnyaayam @mlbbfess aku masih baru maen ml kak, masih gm."
2021-07-03 03:17:37,1411162183879172097,@mlbbfess disini eudora tidak berkutik https://t.co/bLXtBSsH7g
2021-07-03 02:54:53,1411156462882082816,"@Rofiqkhaironi sadari aja pasti ada alasan kita ketemu seseorang, mau kehadiran dia ngubah hidup kita ataupun kehad… https://t.co/5NF4coMbC2"
2021-07-03 02:36:41,1411151881301204992,"@Rofiqkhaironi jangankan setahun, belum ada 3 bulan aku dah diputustin."
2021-07-03 02:22:39,1411148353342038016,"gue udah di fase ketika liat mantan yg dulu gue bucin banget, sekarang rasanya udah biasa aja. sumpaa seneng bgt ak… https://t.co/9sWZPXn6tT"
2021-07-02 17:18:09,1411011322356011009,"@mlbbfess iya nih baru aja naik 2 bintang, dah turun lagi 1 bintang☺️"
2021-07-02 15:59:59,1410991650814369792,@mlbbfess aamiin🤲
2021-07-02 14:32:45,1410969698112393222,@makontl @mlbbfess duhh serem kali maen mobile lejen pake ilmu hitam
2021-07-02 14:23:19,1410967326623633408,@heyyycip @mlbbfess cuma kebetulan😭
2021-07-02 14:21:25,1410966845369159687,@makontl @mlbbfess kak tolong bagi ilmunya🥺
2021-07-02 12:03:19,1410932093673033734,@heyyycip @mlbbfess ceroboh
2021-07-02 09:37:14,1410895329503825924,@TwntyySix iyaaa
2021-07-02 09:36:08,1410895051853418509,"@TwntyySix support, mm"
2021-07-02 09:30:50,1410893719688028170,@TwntyySix tapi aku masih gm☹️
2021-07-02 09:25:07,1410892282711056384,@segelasbersama mabar mobile legend
2021-07-02 09:20:49,1410891198961643521,pengen banget punya temen mabar yang awet.
2021-07-02 08:39:10,1410880715865001988,kenapa notif twitter gak muncul ya padahal udah di setting on semua☹️
2021-07-02 05:51:05,1410838418116857857,@mlbbfess Ada 7 https://t.co/bHExIX8jpg
2021-07-02 03:31:12,1410803215965114374,@mlbbfess support
2021-07-02 03:28:18,1410802484377919489,@faryanggaa masyaallah🥺
2021-07-02 02:32:06,1410788343437303815,@GamesMenfess mauuu ikuttt
2021-07-01 14:58:28,1410613782389297161,@kdrama_menfess ganteng parah gak ada obat😑❤️ https://t.co/tjy3uMkSlm
2021-07-01 14:55:21,1410612999836950530,@mlbbfess 938517366
2021-07-01 11:33:29,1410562195457396747,@FOOD_FESS minta resepnya nder✨
2021-07-01 10:51:09,1410551545184227332,"@monmonicagraysh Ayang, Cantikku"
2021-07-01 10:49:32,1410551136973594628,"@LuphKira @mlbbfess mjb, iya tadi ketemu chang'e sakit banget damage nya."
2021-07-01 10:17:45,1410543139224363010,@mlbbfess itu nomer 2 dari kiri hero apa ya?
2021-07-01 10:12:01,1410541695750393858,@mlbbfess pengen jugaa🥺
2021-07-01 07:51:42,1410506382667747332,"@ohmyzetka @mlbbfess nahh ini yang bikin aku bingung, belajar darimana😭 nonton tutorial di yutub udah, nonton di ti… https://t.co/Zvbo521DIi"
2021-07-01 07:49:12,1410505754755272708,@ulat_bulu_bulu yaampun meng😭
2021-06-30 17:20:25,1410287116093837314,@ohmyzetka @mlbbfess huhu iyaa tapi bosen juga sih pake hero support terus. pengen belajar pake guinivere.
2021-06-30 15:19:24,1410256664800813056,@AmiGame0208 @ARAG0MEN @mlbbfess aku tiap hari mabar padahal☹️
2021-06-30 14:21:24,1410242069155643395,"@ARAG0MEN @mlbbfess mjb, punyaku kok gaada tanda itu yaa"
2021-06-30 13:32:27,1410229748446339074,@ceceeeeeeeeeeeb @mlbbfess t-tapi nungguin minion by1 sama minion musuh lama pisan wehh
2021-06-30 13:28:49,1410228832745922564,@ceceeeeeeeeeeeb @mlbbfess ngakak😭
2021-06-30 11:45:27,1410202822600052738,"@ohmyzetka @mlbbfess aku masih 2 bulan maen ml, rank masih gm, dan cuma bisa pake angela🥺"
2021-06-30 07:35:19,1410139872203923464,@mlbbfess sekarang tetep di ban mulu sih
2021-06-30 07:27:20,1410137864906498053,@mlbbfess ikuttt
2021-06-30 07:06:27,1410132608273379337,@mlbbfess https://t.co/X6VE1alafX
2021-06-29 16:41:22,1409914903926743040,@ohmyzetka @mlbbfess kok bisa hapal gitu
2021-06-26 15:55:48,1408816272519745537,@claudiasilvinia masyaallah tabarakallah ganteng sekali💙✨
2021-06-26 03:39:54,1408631078500200450,@mlbbfess wihh gg
2021-06-26 03:36:21,1408630185193181192,@mlbbfess gak seru
2021-06-25 15:10:45,1408442545122680838,@dwihandaanda masyaallah mamawik✨
2021-06-25 15:03:54,1408440821410459648,@maha_penyayangg @usaisudahhh Ngakak😭
2021-06-24 13:13:16,1408050592858079239,@mlbbfess gak pernah
2021-06-22 13:47:17,1407334380327026696,"@aishakinaaa @lacoco_id sudaa follow, like, and ritwit ka kinaaaa.. dua tiga buah pisang, semoga aku menangggg✨✨✨… https://t.co/JNC9h7z6Jk"
2021-06-22 11:06:02,1407293798418247682,"@Ahimsvck @aishakinaaa sabaar dulu, nanti pasti diganti dengan yang lebih baik✨"
2021-06-21 16:14:20,1407008996133806082,@Ahimsvck @aishakinaaa Aaaakkk lucuuuunaa
2021-06-18 04:36:29,1405746215342329863,"@udindisini @1stragerr @AndreYlnt @alvinbaj yaallah bener banget sampe pas maen kemaren aku bilang ke pacarku ""kok… https://t.co/O3TpNlqVgn"
2021-06-01 06:06:59,1399608394554646530,"@yeuapaansi @bertanyarl xixixi doiku juga gitu, kalo ga jidatnya ya cuma separo mukanya aja yg diliatin. sebel bgt tapi gemes😭"
2021-05-31 16:55:09,1399409121728753664,@bintangemon crypto itu apa sih???
2021-05-27 14:02:13,1397916052449759248,@khairinadiar kalau di grab kayaknya bisa nama lengkap deh kak irin. iyaa semoga ga ketemu lagi sama ojol yg kek be… https://t.co/VjNOyK29HO
2021-05-27 13:36:46,1397909647353290756,@khairinadiar mungkin tau nama kakak ku dari apk ojol itu kak irin.
2021-05-27 09:14:14,1397843579267997696,"@khairinadiar kakak ku juga pernah kak irin, pas driver ojol nya udah nganterin kakak ku pulang. selang beberapa ja… https://t.co/ymzmnb2lzJ"
2021-05-26 05:26:54,1397423980382875649,"@mlbbfess aku juga dapat nder, tapi harith susah aku belum bisa pake😭"
2021-05-25 13:42:35,1397186333399912448,@KediriFess mau curhat apa nder??
2021-05-24 13:52:35,1396826464239030272,@slyffindorr @mlbbfess ratryfalovie
2021-05-24 13:46:07,1396824836756807680,@mlbbfess aku juga master nder
2021-05-24 04:25:31,1396683757810188289,@KediriFess bukaaa
2021-05-23 12:32:41,1396443970004152329,RT @neckkisz: i made one https://t.co/92jCLIFLW7
2021-05-20 06:37:23,1395267392092082177,@sijeunigurl @screedipai @bertanyarl mjb ya temenku wajahnya sekarang breakout parah karena pake krim HN 😭 dan teme… https://t.co/ctarqxnAle
2021-05-09 05:53:51,1391270169243045891,@KediriFess kezellllllllll
2021-05-09 05:51:21,1391269538289750018,@afrkml ners hari ini aku sekeluarga bikin rengginang sendiri dirumahhh🤗
2021-05-08 20:56:47,1391135010590056448,"@faryanggaa pernah punya sahabat yg kek gini ditempat kerja, sampe dimarahin tetangga karena tiap malem ketawa² terus😭"
2021-05-08 10:13:04,1390973015677050885,"@sicantikx mjb punyaku juga eror nder, uangku disitu semua😭 https://t.co/HeNWYe8iSI"
2021-05-08 04:02:25,1390879736667070470,@usaisudahhh @triindonesia iya makasih sama sama
2021-05-04 08:31:17,1389497849365233667,@khairinadiar memangnya ada apa dengan scorpio😭
2021-04-27 03:41:09,1386888117773213700,@KediriFess Realme C15
2021-04-22 21:05:36,1385339024487772164,"@usaisudahhh iya betul, untung abis sahur ga kebelet berak. ntar kalo kebelet pun mending gue tahan aja njir, takut ntar kelaperan😭"
2021-04-18 16:11:32,1383815469589696522,@milahayyat @ianhugen hari ini dia mutusin aku nder😭 https://t.co/78V0VyuZqO
2021-04-18 16:10:28,1383815201372340231,@putricynthiaeka dan hari ini dia mutusin aku💔 https://t.co/69t1r1t6LC
2021-04-17 08:19:04,1383334182722564102,@putricynthiaeka @ianhugen aku juga curiga karena selama pacaran sama aku dia ga pernah sekalipun upload foto aku.… https://t.co/V6FcAxpLvF
2021-04-17 08:17:04,1383333676021211139,@putricynthiaeka @ianhugen dear kamu kuat banget bisa ngelewatin ini semua💞 aku gamau suudzon kalo ada orang ketiga… https://t.co/cqr08sejSN
2021-04-17 08:14:37,1383333062461706244,"@felfindreff @ianhugen waktu itu aku pernah maksa dia buat stay sama aku, tapi sekarang udah enggak. udah capek."
2021-04-17 08:13:38,1383332811516432400,@danielaputriii @ianhugen apa emang udah jalannya buat pisah ya? sampe sekarang dia belum ngasih kejelasan mau putu… https://t.co/JKQt9lUJzS
